id,cfdi_concepto_impuestos_id,base,impuesto,tipo_factor,tasa_o_cuota,importe,created_at,updated_at
173,173,43.103448,002,Tasa,0.160000,6.896552,2026-01-15 20:59:52,2026-01-15 20:59:52
174,174,17.241379,002,Tasa,0.160000,2.758621,2026-01-15 20:59:52,2026-01-15 20:59:52
175,175,169.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
176,176,2500.000000,002,Tasa,0.160000,400.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
177,177,1227.450000,002,Tasa,0.160000,196.392000,2026-01-15 20:59:52,2026-01-15 20:59:52
178,178,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
179,179,13799.500000,002,Tasa,0.160000,2207.920000,2026-01-15 20:59:52,2026-01-15 20:59:52
180,180,289.000000,002,Tasa,0.160000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
181,181,3349.000000,002,Tasa,0.160000,535.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
182,182,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
183,183,1999.000000,002,Tasa,0.160000,319.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
184,184,21999.000000,002,Tasa,0.160000,3519.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
185,185,799.000000,002,Tasa,0.160000,127.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
186,186,1649.000000,002,Tasa,0.160000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
187,187,1043.330000,002,Tasa,0.160000,166.932800,2026-01-15 20:59:52,2026-01-15 20:59:52
188,188,1999.000000,002,Tasa,0.160000,319.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
189,189,180.430000,002,Tasa,0.160000,28.870000,2026-01-15 20:59:52,2026-01-15 20:59:52
190,190,12.890000,002,Tasa,0.160000,2.060000,2026-01-15 20:59:52,2026-01-15 20:59:52
191,191,64.440000,002,Tasa,0.160000,10.310000,2026-01-15 20:59:52,2026-01-15 20:59:52
192,192,180.430000,002,Tasa,0.160000,28.870000,2026-01-15 20:59:52,2026-01-15 20:59:52
193,193,12.890000,002,Tasa,0.160000,2.060000,2026-01-15 20:59:52,2026-01-15 20:59:52
194,194,64.440000,002,Tasa,0.160000,10.310000,2026-01-15 20:59:52,2026-01-15 20:59:52
